cohort,cohort_label,base_ta_c,base_rh_pct,mean_pmv_delta_open_minus_cellular,pmv_range_delta_open_minus_cellular,spatial_std_delta_open_minus_cellular,worst_ppd_delta_open_minus_cellular,perimeter_core_gap_delta_open_minus_cellular
older_female_light,Older Female Light,23.5,80.0,0.004,0.619,0.082,0.692,0.244
realistic_mixed,Realistic Mixed Office,25.0,35.0,0.006,0.17,0.012,0.885,0.189
default_male_35,Default Male Baseline,25.0,35.0,0.008,0.405,0.091,1.405,0.155
realistic_male,Realistic Male Office,25.0,35.0,0.008,0.412,0.068,2.166,0.159
female_light,Female Light Office,25.0,35.0,0.001,0.545,0.077,4.754,0.219
older_mixed,Older Mixed Office,25.0,35.0,0.004,0.213,0.031,1.244,0.19
older_male_formal,Older Male Formal,25.0,35.0,0.009,0.427,0.076,2.797,0.166
older_female_light,Older Female Light,25.0,35.0,0.0,0.622,0.083,1.984,0.238
realistic_mixed,Realistic Mixed Office,25.0,55.0,0.006,0.181,0.013,1.067,0.191
default_male_35,Default Male Baseline,25.0,55.0,0.007,0.408,0.092,1.018,0.157
realistic_male,Realistic Male Office,25.0,55.0,0.008,0.416,0.07,1.483,0.16
female_light,Female Light Office,25.0,55.0,0.001,0.549,0.08,5.579,0.22
older_mixed,Older Mixed Office,25.0,55.0,0.004,0.229,0.031,2.038,0.192
older_male_formal,Older Male Formal,25.0,55.0,0.008,0.43,0.078,2.131,0.168
older_female_light,Older Female Light,25.0,55.0,0.0,0.624,0.085,3.597,0.24
realistic_mixed,Realistic Mixed Office,25.0,75.0,0.006,0.194,0.013,1.146,0.192
default_male_35,Default Male Baseline,25.0,75.0,0.008,0.409,0.093,5.518,0.158
realistic_male,Realistic Male Office,25.0,75.0,0.008,0.419,0.072,5.665,0.162
female_light,Female Light Office,25.0,75.0,0.001,0.551,0.083,5.87,0.221
older_mixed,Older Mixed Office,25.0,75.0,0.004,0.245,0.032,2.803,0.194
older_male_formal,Older Male Formal,25.0,75.0,0.009,0.434,0.081,1.433,0.17
older_female_light,Older Female Light,25.0,75.0,0.0,0.624,0.088,5.335,0.242
