PMV,PPD
-0.3500000000000001,7.548795904415172
-0.33999999999999986,7.40458946751157
-0.33000000000000007,7.264631011524003
-0.31999999999999984,7.12891543181982
-0.31000000000000005,6.9974376420947095
-0.2999999999999998,6.870192586403547
-0.29000000000000004,6.7471752508472065
-0.2799999999999998,6.62838067491208
-0.27,6.513803962460003
-0.2599999999999998,6.403440292365417
-0.25,6.297284928798177
-0.2400000000000002,6.195333231148837
-0.22999999999999998,6.097580663595082
-0.2200000000000002,6.004022804306729
-0.20999999999999996,5.9146553542876745
-0.20000000000000018,5.82947414585297
-0.18999999999999995,5.748475150739424
-0.18000000000000016,5.671654487848102
-0.16999999999999993,5.599008430617374
-0.16000000000000014,5.530533414025072
-0.1499999999999999,5.466226041218675
-0.14000000000000012,5.40608308977221
-0.1299999999999999,5.3501015175688735
-0.1200000000000001,5.298278468308524
-0.10999999999999988,5.250611276638864
-0.10000000000000009,5.207097472909709
-0.08999999999999986,5.167734787549591
-0.08000000000000007,5.132521155063898
-0.06999999999999984,5.101454717654093
-0.06000000000000005,5.0745338284572625
-0.04999999999999982,5.051757054405741
-0.040000000000000036,5.033123178706219
-0.029999999999999805,5.018631202938167
-0.020000000000000018,5.008280348770953
-0.009999999999999787,5.002070059299783
0.0,5.0
0.009999999999999787,5.002070059299783
0.020000000000000018,5.008280348770953
0.029999999999999805,5.018631202938167
0.040000000000000036,5.033123178706219
0.04999999999999982,5.051757054405741
0.06000000000000005,5.0745338284572625
0.06999999999999984,5.101454717654093
0.08000000000000007,5.132521155063898
0.08999999999999986,5.167734787549591
0.10000000000000009,5.207097472909709
0.10999999999999988,5.250611276638864
0.1200000000000001,5.298278468308524
0.1299999999999999,5.3501015175688735
0.14000000000000012,5.40608308977221
0.1499999999999999,5.466226041218675
0.16000000000000014,5.530533414025072
0.16999999999999993,5.599008430617374
0.18000000000000016,5.671654487848102
0.18999999999999995,5.748475150739424
0.20000000000000018,5.82947414585297
0.20999999999999996,5.9146553542876745
0.2200000000000002,6.004022804306729
0.22999999999999998,6.097580663595082
0.2400000000000002,6.195333231148837
0.25,6.297284928798177
0.2599999999999998,6.403440292365417
0.27,6.513803962460003
0.2799999999999998,6.62838067491208
0.29000000000000004,6.7471752508472065
0.2999999999999998,6.870192586403547
0.31000000000000005,6.9974376420947095
0.31999999999999984,7.12891543181982
0.33000000000000007,7.264631011524003
0.33999999999999986,7.40458946751157
0.3500000000000001,7.548795904415172
0.3599999999999999,7.6972554328235105
0.3700000000000001,7.849973156571295
0.3799999999999999,8.006954159694388
0.3900000000000001,8.16820349305415
0.3999999999999999,8.333726160634356
0.41000000000000014,8.503527105515005
0.41999999999999993,8.677611195526893
0.43000000000000016,8.855983208591638
0.43999999999999995,9.038647817751439
0.4500000000000002,9.22560957589387
0.45999999999999996,9.416872900176244
0.4700000000000002,9.61244205615526
0.48,9.812321141627478
0.4900000000000002,10.01651407018619
0.5,10.225024554501047
0.5099999999999998,10.4378560893267
0.52,10.655011934247199
0.5299999999999998,10.876495096162685
0.54,11.102308311526428
0.5499999999999998,11.332454028338645
0.56,11.566934387905974
0.5699999999999998,11.80575120637397
0.5800000000000001,12.048905956041565
0.5899999999999999,12.29639974646598
0.6000000000000001,12.548233305367503
0.6099999999999999,12.804406959343282
0.6200000000000001,13.064920614400222
0.6299999999999999,13.329773736316994
0.6400000000000001,13.598965330845644
0.6499999999999999,13.872493923763855
0.6600000000000001,14.150357540788875
0.6699999999999999,14.432553687364901
0.6800000000000002,14.719079328335908
0.69,15.009930867516061
0.7000000000000002,15.305104127170836
0.71,15.604594327421594
0.7200000000000002,15.908396065587482
0.73,16.216503295478276
0.7400000000000002,16.528909306652764
0.75,16.845606703656927
0.7599999999999998,17.166587385257714
0.77,17.49184252368711
0.7799999999999998,17.821362543912926
0.79,18.15513710295245
0.7999999999999998,18.493155069245404
0.81,18.835404502103742
0.8199999999999998,19.181872631255118
0.8300000000000001,19.532545836498514
0.8399999999999999,19.88740962748956
0.8500000000000001,20.24644862367485
0.8599999999999999,20.60964653439345
0.8700000000000001,20.976986139165646
0.8799999999999999,21.348449268187963
0.8900000000000001,21.72401678305505
0.8999999999999999,22.103668557728284
0.9100000000000001,22.48738345977219
0.9199999999999999,22.87513933187931
0.9300000000000002,23.26691297370543
0.94,23.662680124035845
0.9500000000000002,24.06241544330571
0.96,24.466092496495634
0.9700000000000002,24.873683736425605
0.98,25.285160487469483
0.9900000000000002,25.700492929713405
1.0,26.119650083580567
1.0099999999999998,26.542599794946483
1.0199999999999996,26.969308720767245
1.0300000000000002,27.399742315245092
1.04,27.833864816554637
1.0499999999999998,28.271639234153795
1.0599999999999996,28.71302733670298
1.0700000000000003,29.15798964061682
1.08,29.606485399272017
1.0899999999999999,30.058472592895995
1.0999999999999996,30.51390791915931
1.1100000000000003,30.972746784496437
1.12,31.43494329617829
1.13,31.900450255160692
1.1399999999999997,32.36921914973162
