met,Ta,Tr,RH,v,thermal_load,PMV,PPD,pmv_factor
0.8,22.0,34.0,30.0,0.2,-13.338752011774176,-1.1307296339638713,31.93454350263319,0.08477027183395952
0.8,22.0,34.0,50.0,0.05,-4.307842103937347,-0.36517694616854496,7.775784646790569,0.08477027183395952
0.8,22.0,34.0,50.0,0.1,-4.307842103937347,-0.36517694616854496,7.775784646790569,0.08477027183395952
0.8,22.0,34.0,50.0,0.2,-11.311900975690826,-0.9589129206681432,24.42201947188086,0.08477027183395952
0.8,22.0,34.0,70.0,0.05,-2.280991067853982,-0.19336023287281567,5.7752263923811995,0.08477027183395952
0.8,22.0,34.0,70.0,0.1,-2.280991067853982,-0.19336023287281567,5.7752263923811995,0.08477027183395952
0.8,22.0,34.0,70.0,0.2,-9.285049939607468,-0.7870962073724145,18.057778187681606,0.08477027183395952
0.8,24.0,18.0,30.0,0.05,-41.48592900966579,-3.516773479433716,99.96198556607837,0.08477027183395952
0.8,24.0,18.0,30.0,0.1,-42.346533815626636,-3.589727182776629,99.97811071823124,0.08477027183395952
0.8,24.0,18.0,30.0,0.2,-47.03301108565771,-3.987001134900836,99.99937798411403,0.08477027183395952
0.8,24.0,18.0,50.0,0.05,-39.19827004010798,-3.3228480067209047,99.85625192883897,0.08477027183395952
0.8,24.0,18.0,50.0,0.1,-40.058874846068825,-3.3958017100638176,99.91085354840817,0.08477027183395952
0.8,24.0,18.0,50.0,0.2,-44.7453521160999,-3.7930756621880244,99.99600129013261,0.08477027183395952
0.8,24.0,18.0,70.0,0.05,-36.91061107055017,-3.1289225340080935,99.54758409890438,0.08477027183395952
0.8,24.0,18.0,70.0,0.1,-37.771215876511015,-3.2018762373510063,99.70005757957617,0.08477027183395952
0.8,24.0,18.0,70.0,0.2,-42.45769314654209,-3.599150189475213,99.97966091051246,0.08477027183395952
0.8,24.0,22.0,30.0,0.05,-31.502396449464946,-2.6704667104423048,96.35002845872232,0.08477027183395952
0.8,24.0,22.0,30.0,0.1,-32.010051839897535,-2.71350079588725,96.8992937483872,0.08477027183395952
0.8,24.0,22.0,30.0,0.2,-37.44798710930079,-3.17447604689004,99.64901187095344,0.08477027183395952
0.8,24.0,22.0,50.0,0.05,-29.21473747990712,-2.476541237729492,92.92796827414134,0.08477027183395952
0.8,24.0,22.0,50.0,0.1,-29.72239287033971,-2.5195753231744376,93.83234574619587,0.08477027183395952
0.8,24.0,22.0,50.0,0.2,-35.16032813974298,-2.9805505741772285,99.02766830593339,0.08477027183395952
0.8,24.0,22.0,70.0,0.05,-26.92707851034931,-2.282615765016681,87.71613849687505,0.08477027183395952
0.8,24.0,22.0,70.0,0.1,-27.4347339007819,-2.3256498504616263,89.0376794815533,0.08477027183395952
