scenario_id,time_min,agent_id,room_id,room_name,x,y,activity,clo,duration_mins,pmv,ppd,met,air_temp,mean_radiant_temp,humidity,air_velocity,lux,noise_db,position_error,environment_error,computed_error
young_mixed_t22p0_rh75,0.0,resident_01,room_0,Living Room,12,5,seated,0.55,0.0,-3.45,99.9,0.73,22.0,22.0,75.0,0.12,300.0,40.0,,,
young_mixed_t22p0_rh75,0.0,resident_02,room_1,Dining Room,20,5,seated,0.55,0.0,-3.77,100.0,0.7,22.0,22.0,75.0,0.12,300.0,40.0,,,
young_mixed_t22p0_rh75,0.0,resident_03,room_2,Primary Bedroom,28,6,seated,0.55,0.0,-2.47,92.8,0.79,22.0,23.0,75.0,0.08,300.0,40.0,,,
young_mixed_t22p0_rh75,0.0,resident_04,room_3,Kitchen,3,6,standing,0.45,0.0,-2.61,95.5,0.88,22.0,22.0,75.0,0.15,300.0,40.0,,,
young_mixed_t22p0_rh75,0.0,resident_05,room_4,Breakfast Nook,7,5,seated,0.55,0.0,-2.74,97.2,0.8,22.0,22.0,75.0,0.12,300.0,40.0,,,
young_mixed_t22p0_rh75,0.0,resident_06,room_5,Powder Room,15,5,standing,0.45,0.0,-1.6,56.6,0.98,22.0,22.0,75.0,0.1,300.0,40.0,,,
young_mixed_t22p0_rh75,0.0,resident_07,room_6,Study,25,5,seated,0.55,0.0,-2.61,95.5,0.81,22.0,22.0,75.0,0.12,300.0,40.0,,,
young_mixed_t22p0_rh75,0.0,resident_08,room_11,Family Lounge West,12,10,seated,0.55,0.0,-2.51,93.7,0.82,22.0,22.0,75.0,0.12,300.0,40.0,,,
young_mixed_t22p0_rh75,0.0,resident_09,room_12,Family Lounge East,19,10,seated,0.55,0.0,-2.46,92.6,0.79,22.0,23.5,75.0,0.12,300.0,40.0,,,
young_mixed_t22p0_rh75,0.0,resident_10,room_8,Entry Closet,2,8,standing,0.45,0.0,-1.66,59.8,0.98,22.0,22.0,75.0,0.1,300.0,40.0,,,
young_mixed_t22p0_rh75,0.0,resident_11,room_9,Service Vestibule,3,11,standing,0.45,0.0,-1.5,50.6,0.96,22.0,23.5,75.0,0.1,300.0,40.0,,,
young_mixed_t22p0_rh75,0.0,resident_12,room_14,Guest Room,8,10,seated,0.55,0.0,-2.29,87.9,0.8,22.0,23.5,75.0,0.08,300.0,40.0,,,
young_mixed_t22p0_rh75,0.0,resident_13,room_15,Bath 2,22,10,standing,0.45,0.0,-1.19,34.8,1.0,22.0,23.5,85.0,0.08,300.0,40.0,,,
young_mixed_t22p0_rh75,0.0,resident_14,room_21,Bedroom 1,13,18,seated,0.55,0.0,-2.23,86.1,0.81,22.0,23.5,75.0,0.08,300.0,40.0,,,
young_mixed_t22p0_rh75,0.0,resident_15,room_22,Bedroom 2,18,18,seated,0.55,0.0,-3.08,99.4,0.72,22.0,23.5,75.0,0.08,300.0,40.0,,,
young_mixed_t22p0_rh75,0.0,resident_16,room_16,Bedroom 3,25,10,seated,0.55,0.0,-2.34,89.5,0.79,22.0,23.5,75.0,0.08,300.0,40.0,,,
young_mixed_t22p0_rh75,0.0,resident_17,room_19,West Bedroom Hall,14,13,standing,0.55,0.0,-2.27,87.2,0.84,22.0,22.0,75.0,0.1,300.0,40.0,,,
young_mixed_t22p0_rh75,0.0,resident_18,room_20,East Bedroom Hall,17,13,standing,0.55,0.0,-1.26,38.5,0.98,22.0,22.0,75.0,0.1,300.0,40.0,,,
young_mixed_t22p0_rh75,0.0,resident_19,room_17,Laundry,5,11,standing,0.45,0.0,-1.41,45.8,0.96,22.0,23.5,85.0,0.08,300.0,40.0,,,
young_mixed_t22p0_rh75,0.0,resident_20,room_18,Ensuite Bath,28,11,standing,0.45,0.0,-2.29,87.9,0.88,22.0,22.0,85.0,0.08,300.0,40.0,,,
young_mixed_t22p0_rh75,0.0,resident_21,room_23,Shared Bath,15,17,standing,0.45,0.0,-1.71,62.5,0.96,22.0,22.0,85.0,0.08,300.0,40.0,,,
young_mixed_t22p0_rh80,0.0,resident_01,room_0,Living Room,12,5,seated,0.55,0.0,-3.41,99.9,0.73,22.0,22.0,80.0,0.12,300.0,40.0,,,
young_mixed_t22p0_rh80,0.0,resident_02,room_1,Dining Room,20,5,seated,0.55,0.0,-3.72,100.0,0.7,22.0,22.0,80.0,0.12,300.0,40.0,,,
